Name,Description,Ingredients
Garlic Butter Shrimp,Shrimp cooked in garlic butter with lemon.,"['Shrimp', 'Garlic', 'Butter', 'Lemon', 'Salt', 'Black Pepper']"
Chicken Alfredo Pasta,Creamy pasta with grilled chicken.,"['Chicken Breast', 'Pasta', 'Parmesan Cheese', 'Garlic', 'Butter', 'Olive Oil', 'Salt', 'Black Pepper']"
Tomato Basil Pasta,Classic pasta with tomato and basil sauce.,"['Pasta', 'Tomato', 'Basil', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper']"
Chocolate Cake,Rich and moist chocolate cake.,"['Flour', 'Chocolate', 'Egg', 'Sugar', 'Butter', 'Milk', 'Vanilla Extract']"
Lemon Butter Chicken,Pan-seared chicken with lemon butter sauce.,"['Chicken Breast', 'Butter', 'Lemon', 'Garlic', 'Salt', 'Black Pepper']"
Strawberry Shortcake,Layered cake with fresh strawberries and cream.,"['Flour', 'Sugar', 'Egg', 'Butter', 'Milk', 'Vanilla Extract', 'Strawberry']"
Garlic Bread,Toasted bread with garlic butter and herbs.,"['Flour', 'Butter', 'Garlic', 'Salt', 'Black Pepper']"
Grilled Shrimp Skewers,Grilled shrimp skewers with lemon and herbs.,"['Shrimp', 'Lemon', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper']"
Vanilla Pudding,Smooth and creamy vanilla-flavored dessert.,"['Milk', 'Sugar', 'Vanilla Extract', 'Egg']"
Basil Tomato Soup,Tomato-based soup with fresh basil.,"['Tomato', 'Basil', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper']"
Caesar Salad,"Classic salad with romaine lettuce, croutons, and Caesar dressing.","['Lettuce', 'Parmesan Cheese', 'Croutons', 'Olive Oil', 'Black Pepper', 'Salt']"
Mushroom Risotto,Creamy Italian rice dish with mushrooms and Parmesan.,"['Rice', 'Mushroom', 'Parmesan Cheese', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper']"
Beef Stir-Fry,Quick and flavorful beef stir-fry with vegetables.,"['Beef', 'Onion', 'Garlic', 'Soy Sauce', 'Olive Oil', 'Salt', 'Black Pepper']"
French Onion Soup,Rich and flavorful onion soup topped with cheese.,"['Onion', 'Butter', 'Garlic', 'Flour', 'Parmesan Cheese', 'Salt', 'Black Pepper']"
Tiramisu,Classic Italian dessert with coffee-soaked layers and mascarpone.,"['Flour', 'Sugar', 'Egg', 'Vanilla Extract', 'Milk', 'Chocolate', 'Coffee']"
Stuffed Bell Peppers,Bell peppers filled with spiced meat and rice.,"['Bell Pepper', 'Beef', 'Rice', 'Tomato', 'Garlic', 'Salt', 'Black Pepper']"
Grilled Salmon,Salmon fillet grilled with lemon and herbs.,"['Salmon', 'Lemon', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper']"
Pancakes,Fluffy pancakes served with syrup and fruit.,"['Flour', 'Egg', 'Sugar', 'Milk', 'Butter', 'Vanilla Extract']"
Spaghetti Bolognese,Classic spaghetti with a rich meat sauce.,"['Pasta', 'Beef', 'Tomato', 'Garlic', 'Onion', 'Olive Oil', 'Salt', 'Black Pepper']"
Coconut Macaroons,Chewy coconut cookies made with egg whites.,"['Coconut', 'Egg', 'Sugar', 'Vanilla Extract']"
Roasted Vegetables,Mixed vegetables roasted with olive oil and spices.,"['Carrot', 'Bell Pepper', 'Onion', 'Olive Oil', 'Salt', 'Black Pepper']"
Banana Bread,Moist and delicious banana-flavored bread.,"['Flour', 'Egg', 'Sugar', 'Butter', 'Banana', 'Vanilla Extract']"
Shrimp Tacos,Soft tacos filled with shrimp and fresh toppings.,"['Shrimp', 'Tortilla', 'Lettuce', 'Tomato', 'Garlic', 'Salt', 'Black Pepper']"
Caprese Salad,"Fresh salad with tomatoes, mozzarella, and basil.","['Tomato', 'Basil', 'Mozzarella', 'Olive Oil', 'Salt', 'Black Pepper']"
Egg Fried Rice,Quick and tasty fried rice with scrambled eggs.,"['Rice', 'Egg', 'Garlic', 'Soy Sauce', 'Olive Oil', 'Salt', 'Black Pepper']"
